HPI Rank,Country,"Life 
Expectancy","Well-being
(0-10)","Footprint
(gha/capita)",Inequality of outcomes,Happy Planet Index,Region,,,,,,,,,,,,,,
12,Norway,81.3,7.7,5,7,36.8,Europe,,,,,,,,,,,,,,
15,Spain,82.2,6.3,3.7,10,36,Europe,,,,,,,,,,,,,,
18,Netherlands,81.2,7.5,5.3,4,35.3,Europe,,,,,,,,,,,,,,
24,Switzerland,82.6,7.8,5.8,6,34.3,Europe,,,,,,,,,,,,,,
32,Denmark,79.8,7.5,5.5,7,32.7,Europe,,,,,,,,,,,,,,
34,United Kingdom,80.4,6.9,4.9,9,31.9,Europe,,,,,,,,,,,,,,
37,Finland,80.4,7.4,5.9,6,31.3,Europe,,,,,,,,,,,,,,
39,Iceland,82.2,7.6,6.4,5,31.1,Europe,,,,,,,,,,,,,,
41,Cyprus,79.8,6.2,4.2,12,30.7,Europe,,,,,,,,,,,,,,
43,Austria,81,7.4,6.1,7,30.5,Europe,,,,,,,,,,,,,,
44,France,81.8,6.6,5.1,9,30.4,Europe,,,,,,,,,,,,,,
48,Ireland,80.5,7,5.6,8,30,Europe,,,,,,,,,,,,,,
49,Germany,80.6,6.7,5.3,8,29.8,Europe,,,,,,,,,,,,,,
53,Malta,80.2,6,4.4,13,29,Europe,,,,,,,,,,,,,,
60,Italy,82.7,5.8,4.6,12,28.1,Europe,,,,,,,,,,,,,,
61,Sweden,81.8,7.6,7.3,6,28,Europe,,,,,,,,,,,,,,
79,Portugal,80.3,5,3.9,16,24.8,Europe,,,,,,,,,,,,,,
87,Belgium,80.4,6.9,7.4,9,23.7,Europe,,,,,,,,,,,,,,
89,Greece,80.5,5.1,4.4,16,23.6,Europe,,,,,,,,,,,,,,
139,Luxembourg,81.1,7,15.8,7,13.2,Europe,,,,,,,,,,,,,,
4,Vanuatu,71.3,6.5,1.9,22,40.6,Asia Pacific,,,,,,,,,,,,,,
5,Vietnam,75.5,5.5,1.7,19,40.3,Asia Pacific,,,,,,,,,,,,,,
8,Bangladesh,70.8,4.7,0.7,27,38.4,Asia Pacific,,,,,,,,,,,,,,
