# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 269:         5.520       52.458      -3.70  LELYSTAD
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  269,20160101,   46,   14,   69
  269,20160102,   45,   39,   49
  269,20160103,   61,   42,   77
  269,20160104,   28,   12,   51
  269,20160105,   30,   -3,   59
  269,20160106,   -9,  -15,   -2
  269,20160107,   41,   -8,   72
  269,20160108,   53,   17,   81
  269,20160109,   51,    7,   75
  269,20160110,   65,   42,   85
  269,20160111,   47,   26,   65
  269,20160112,   54,   42,   75
  269,20160113,   42,   10,   63
  269,20160114,   27,    6,   52
  269,20160115,   19,  -14,   33
  269,20160116,   22,  -14,   50
  269,20160117,   -5,  -46,   22
  269,20160118,  -27,  -54,    1
  269,20160119,  -26,  -68,    4
  269,20160120,    8,  -40,   47
  269,20160121,  -12,  -42,    8
  269,20160122,    7,  -31,   41
  269,20160123,   57,    8,   86
  269,20160124,   73,   48,   99
  269,20160125,  107,   85,  139
  269,20160126,   88,   58,  108
  269,20160127,  106,   83,  119
  269,20160128,   61,   39,   83
  269,20160129,   82,   52,   96
  269,20160130,   72,   46,   95
  269,20160131,   59,   24,   92
  269,20160201,  110,   87,  118
  269,20160202,   84,   57,  108
  269,20160203,   47,    9,   66
  269,20160204,   42,    9,   61
  269,20160205,   81,   43,  101
  269,20160206,   93,   83,  103
  269,20160207,   82,   64,  106
  269,20160208,   79,   62,   93
  269,20160209,   52,   19,   77
  269,20160210,   47,   19,   78
  269,20160211,   30,   -7,   75
  269,20160212,   16,  -17,   58
  269,20160213,    9,  -19,   31
  269,20160214,   15,    6,   26
  269,20160215,   18,  -22,   55
  269,20160216,    3,  -43,   62
  269,20160217,   -9,  -52,   34
  269,20160218,    9,  -21,   26
  269,20160219,   35,    4,   79
  269,20160220,   78,   48,  108
  269,20160221,  101,   79,  114
  269,20160222,   65,   19,  112
  269,20160223,   31,  -10,   74
  269,20160224,   12,  -18,   66
  269,20160225,   11,  -23,   56
  269,20160226,   11,  -14,   35
  269,20160227,   15,  -17,   60
  269,20160228,   16,  -22,   66
  269,20160229,   15,  -28,   65
  269,20160301,   18,  -45,   76
  269,20160302,   50,    2,   83
  269,20160303,   35,    0,   75
  269,20160304,   13,  -10,   28
  269,20160305,   11,  -34,   71
  269,20160306,   21,  -15,   72
  269,20160307,   28,   -8,   74
  269,20160308,   34,  -11,   78
  269,20160309,   39,   -4,   76
  269,20160310,   29,  -22,   81
  269,20160311,   12,  -29,   43
  269,20160312,   21,  -39,   91
  269,20160313,   30,  -26,   81
  269,20160314,   31,  -19,  101
  269,20160315,   47,  -22,   92
  269,20160316,   36,  -10,   91
  269,20160317,   47,  -31,  117
  269,20160318,   54,   34,   65
  269,20160319,   61,   48,   73
  269,20160320,   64,   45,   86
  269,20160321,   70,   56,   89
  269,20160322,   75,   55,  109
  269,20160323,   72,   57,   99
  269,20160324,   74,   55,  103
  269,20160325,   64,    5,   95
  269,20160326,   93,   10,  147
  269,20160327,   88,   64,  125
  269,20160328,   90,   62,  128
  269,20160329,   74,   39,  112
  269,20160330,   76,   42,  112
  269,20160331,   70,   33,  116
  269,20160401,   74,   -3,  137
  269,20160402,   97,   32,  131
  269,20160403,  145,  113,  198
  269,20160404,  125,   83,  153
  269,20160405,   96,   55,  132
  269,20160406,   78,   46,  111
  269,20160407,   70,   43,   98
  269,20160408,   73,   26,  112
  269,20160409,   94,   25,  150
  269,20160410,   98,   56,  150
  269,20160411,  122,   70,  174
  269,20160412,  118,   70,  166
  269,20160413,   94,   46,  151
  269,20160414,   94,   27,  160
  269,20160415,   99,   85,  128
  269,20160416,   85,   53,  123
  269,20160417,   65,   14,  109
  269,20160418,   80,    8,  125
  269,20160419,   94,   44,  128
  269,20160420,   78,   26,  124
  269,20160421,   86,    7,  154
  269,20160422,   78,   27,  120
  269,20160423,   58,   26,   91
  269,20160424,   50,   26,   90
  269,20160425,   47,   16,   92
  269,20160426,   46,    9,   82
  269,20160427,   56,   17,  101
  269,20160428,   49,   11,   91
  269,20160429,   74,   40,  109
  269,20160430,   73,   31,  115
  269,20160501,   79,   13,  130
  269,20160502,  113,   19,  174
  269,20160503,   96,   31,  129
  269,20160504,  100,   23,  159
  269,20160505,  130,   59,  185
  269,20160506,  172,   78,  236
  269,20160507,  196,   93,  261
  269,20160508,  197,  108,  250
  269,20160509,  197,  131,  248
  269,20160510,  185,  139,  223
  269,20160511,  196,  137,  259
  269,20160512,  191,  133,  250
  269,20160513,  143,   86,  219
  269,20160514,   86,   64,  118
  269,20160515,   89,   62,  126
  269,20160516,   94,   57,  127
  269,20160517,  119,   76,  174
  269,20160518,  134,   67,  185
  269,20160519,  135,   84,  189
  269,20160520,  132,  107,  170
  269,20160521,  176,   96,  228
  269,20160522,  157,  131,  196
  269,20160523,  123,  112,  136
  269,20160524,  111,  102,  136
  269,20160525,  124,  102,  150
  269,20160526,  140,   87,  189
  269,20160527,  154,   94,  208
  269,20160528,  171,  113,  231
  269,20160529,  172,  125,  223
  269,20160530,  173,  150,  214
  269,20160531,  193,  153,  236
  269,20160601,  201,  160,  259
  269,20160602,  155,  135,  179
  269,20160603,  176,  141,  212
  269,20160604,  209,  134,  274
  269,20160605,  182,  115,  233
  269,20160606,  175,  108,  235
  269,20160607,  188,  126,  242
  269,20160608,  146,  117,  183
  269,20160609,  143,  108,  182
  269,20160610,  152,  106,  190
  269,20160611,  160,  121,  211
  269,20160612,  166,  133,  222
  269,20160613,  158,  134,  196
  269,20160614,  154,  125,  184
  269,20160615,  145,  114,  178
  269,20160616,  161,  114,  211
  269,20160617,  160,  136,  194
  269,20160618,  144,  117,  174
  269,20160619,  152,  125,  186
  269,20160620,  155,  143,  170
