20160101,46,14,69,60,36,87
20160102,45,39,49,74,48,95
20160103,61,42,77,66,44,88
20160104,28,12,51,63,39,76
20160105,30,-3,59,67,43,80
20160106,-9,-15,-2,64,48,78
20160107,41,-8,72,60,41,81
20160108,53,17,81,43,24,79
20160109,51,7,75,58,24,81
20160110,65,42,85,68,41,91
20160111,47,26,65,55,32,78
20160112,54,42,75,56,44,75
20160113,42,10,63,43,16,56
20160114,27,6,52,29,13,49
20160115,19,-14,33,17,6,22
20160116,22,-14,50,18,-1,50
20160117,-5,-46,22,-12,-43,9
20160118,-27,-54,1,-36,-54,-4
20160119,-26,-68,4,-38,-80,4
20160120,8,-40,47,-5,-28,10
20160121,-12,-42,8,4,-23,43
20160122,7,-31,41,17,-22,45
20160123,57,8,86,59,40,78
20160124,73,48,99,68,36,85
20160125,107,85,139,108,73,162
20160126,88,58,108,96,86,108
20160127,106,83,119,100,85,110
20160128,61,39,83,57,15,97
20160129,82,52,96,68,20,91
20160130,72,46,95,62,25,89
20160131,59,24,92,70,34,116
20160201,110,87,118,108,99,116
20160202,84,57,108,80,50,109
20160203,47,9,66,45,30,69
20160204,42,9,61,47,23,79
20160205,81,43,101,82,22,101
20160206,93,83,103,95,74,111
20160207,82,64,106,83,60,112
20160208,79,62,93,82,66,101
20160209,52,19,77,55,22,107
20160210,47,19,78,37,24,51
20160211,30,-7,75,42,21,69
20160212,16,-17,58,28,-24,57
20160213,9,-19,31,14,-26,42
20160214,15,6,26,18,1,29
20160215,18,-22,55,9,-29,44
20160216,3,-43,62,-8,-44,34
20160217,-9,-52,34,0,-59,43
20160218,9,-21,26,22,-6,55
20160219,35,4,79,33,2,77
20160220,78,48,108,79,45,109
20160221,101,79,114,107,98,120
20160222,65,19,112,71,29,106
20160223,31,-10,74,32,2,80
20160224,12,-18,66,23,-15,64
20160225,11,-23,56,8,-34,60
20160226,11,-14,35,23,-11,53
20160227,15,-17,60,26,-3,72
20160228,16,-22,66,17,-19,56
20160229,15,-28,65,15,-26,68
